table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,layer_section,x,double precision,float8,工业园区-监测断面,layer_section
public,layer_section,y,double precision,float8,工业园区-监测断面,layer_section
public,layer_section,name,character varying,varchar,工业园区-监测断面,layer_section
public,layer_section,code,character varying,varchar,工业园区-监测断面,layer_section
public,layer_section,geom,USER-DEFINED,geometry,工业园区-监测断面,layer_section
public,layer_watershed,id,integer,int4,工业园区-汇水区,layer_watershed
public,layer_watershed,name,character varying,varchar,工业园区-汇水区,layer_watershed
public,layer_watershed,code,character varying,varchar,工业园区-汇水区,layer_watershed
public,layer_watershed,geom,USER-DEFINED,geometry,工业园区-汇水区,layer_watershed
public,metadata_view,code,character varying,varchar,元数据-视图,metadata_view
public,metadata_view,parent_id,character varying,varchar,元数据-视图,metadata_view
public,metadata_view,aliasname,character varying,varchar,元数据-视图,metadata_view
public,metadata_view,type,character varying,varchar,元数据-视图,metadata_view
public,metadata_view,LayerName,character varying,varchar,元数据-视图,metadata_view
public,metadata_view,LayerType,character varying,varchar,元数据-视图,metadata_view
public,rs_industrial_info_yc,create_by,bigint,int8,工业园区环境监测数据表,rs_industrial
public,rs_industrial_info_yc,create_time,timestamp without time zone,timestamp,工业园区环境监测数据表,rs_industrial
public,rs_industrial_info_yc,update_by,bigint,int8,工业园区环境监测数据表,rs_industrial
public,rs_industrial_info_yc,update_time,timestamp without time zone,timestamp,工业园区环境监测数据表,rs_industrial
public,rs_industrial_info_yc,del_flag,character,bpchar,工业园区环境监测数据表,rs_industrial
public,rs_industrial_info_yc_bak0305,id,bigint,int8,,rs_industrial
public,rs_industrial_info_yc_bak0305,create_by,bigint,int8,,rs_industrial
public,rs_industrial_info_yc_bak0305,create_time,timestamp without time zone,timestamp,,rs_industrial
public,rs_industrial_info_yc_bak0305,update_by,bigint,int8,,rs_industrial
public,rs_industrial_info_yc_bak0305,update_time,timestamp without time zone,timestamp,,rs_industrial
public,rs_industrial_info_yc_bak0305,del_flag,character,bpchar,,rs_industrial
public,rs_outlet,quick_detect_desc,character varying,varchar,排污口信息表,rs_outlet
public,rs_outlet_info_v2,id,bigint,int8,排污口管理,rs_outlet
public,rs_outlet_info_v2,create_by,bigint,int8,排污口管理,rs_outlet
public,rs_outlet_info_v2,create_time,timestamp without time zone,timestamp,排污口管理,rs_outlet
public,rs_outlet_info_v2,update_by,bigint,int8,排污口管理,rs_outlet
public,rs_outlet_info_v2,update_time,timestamp without time zone,timestamp,排污口管理,rs_outlet
public,rs_outlet_info_v2,del_flag,character varying,varchar,排污口管理,rs_outlet
public,rs_outlet_live_v2,id,bigint,int8,排污口实况,rs_outlet
public,rs_outlet_live_v2,create_by,bigint,int8,排污口实况,rs_outlet
public,rs_outlet_live_v2,create_time,timestamp without time zone,timestamp,排污口实况,rs_outlet
public,rs_outlet_live_v2,update_by,bigint,int8,排污口实况,rs_outlet
public,rs_outlet_live_v2,update_time,timestamp without time zone,timestamp,排污口实况,rs_outlet
public,rs_outlet_live_v2,del_flag,character varying,varchar,排污口实况,rs_outlet
public,rs_outlet_monitor_v2,id,bigint,int8,排污口监测,rs_outlet
public,rs_outlet_monitor_v2,create_by,bigint,int8,排污口监测,rs_outlet
public,rs_outlet_monitor_v2,create_time,timestamp without time zone,timestamp,排污口监测,rs_outlet
public,rs_outlet_monitor_v2,update_by,bigint,int8,排污口监测,rs_outlet
public,rs_outlet_monitor_v2,update_time,timestamp without time zone,timestamp,排污口监测,rs_outlet
public,rs_outlet_monitor_v2,del_flag,character varying,varchar,排污口监测,rs_outlet
public,rs_outlet_remediation_v2,id,bigint,int8,排污口整治,rs_outlet
public,rs_outlet_remediation_v2,create_by,bigint,int8,排污口整治,rs_outlet
public,rs_outlet_remediation_v2,create_time,timestamp without time zone,timestamp,排污口整治,rs_outlet
public,rs_outlet_remediation_v2,update_by,bigint,int8,排污口整治,rs_outlet
