schema,table,column,type,has_comment,comment
public,gis_poi,address,character varying(255),yes,地址
public,gis_poi,category,character varying(100),yes,分类
public,gis_poi,region_code,character varying(32),yes,行政区编码
public,gis_poi,region_province,character varying(30),yes,行政区省
public,gis_poi,region_city,character varying(50),yes,行政区城市
public,gis_poi,lon,double precision,yes,经度
public,gis_poi,lat,double precision,yes,纬度
public,gis_poi,telephone,character varying(11),yes,电话
public,gis_poi,remark,character varying(255),yes,备注
public,gis_poi,create_time,timestamp without time zone,yes,创建时间
public,gis_poi,update_time,timestamp without time zone,yes,修改时间
public,gis_poi,del_flag,character(1),yes,删除标志：0-正常，1-已删除
public,gis_poi,create_by,bigint,yes,创建人
public,gis_poi,update_by,bigint,yes,修改人
public,gis_region,id,bigint,yes,主键id
public,gis_region,region_code,character varying(32),yes,行政区划编码
public,gis_region,region_name,character varying(100),yes,行政区划名称
public,gis_region,control_unit_id,bigint,yes,管控单元ID
public,gis_region,region_level,character varying(4),yes,区划级别
public,gis_region,parent_code,character varying(60),yes,父级区划编码
public,gis_region,code,character varying(32),yes,编码
public,gis_region,address,character varying(255),yes,地址
public,gis_region,remark,character varying(255),yes,备注
public,gis_region,create_by,bigint,yes,创建人
public,gis_region,create_time,timestamp without time zone,yes,创建时间
public,gis_region,update_by,bigint,yes,更新人
public,gis_region,update_time,timestamp without time zone,yes,更新时间
public,gis_region,del_flag,character(1),yes,删除标记：0 未删除、1 已删除
public,gis_region_city,id,integer,yes,主键ID
public,gis_region_city,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,gis_region_city,region_name,character varying(50),yes,行政区划名称
public,gis_region_city,region_code,character varying(20),yes,行政区划编码
public,gis_region_county,id,integer,yes,主键ID
public,gis_region_county,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,gis_region_county,region_name,character varying(60),yes,行政区名称
public,gis_region_county,city,character varying(50),yes,市级名称
public,gis_region_county,region_code,character varying(50),yes,行政区编码
public,gis_region_population,id,bigint,yes,主键ID
public,gis_region_population,region_id,bigint,yes,区域ID
public,gis_region_population,city_population,double precision,yes,城镇人口
public,gis_region_population,city_area,double precision,yes,城镇面积
public,gis_region_population,city_quantity,double precision,yes,城镇数量
public,gis_region_population,rural_population,double precision,yes,农村人口
public,gis_region_population,rural_area,double precision,yes,农村面积
public,gis_region_population,rural_quantity,double precision,yes,农村数量
public,gis_region_population,year,bigint,yes,年份
public,gis_region_population,create_by,bigint,yes,创建人
public,gis_region_population,create_time,timestamp without time zone,yes,创建时间
public,gis_region_population,update_by,bigint,yes,修改人
public,gis_region_population,update_time,timestamp without time zone,yes,修改时间
public,gis_region_population,del_flag,character(1),yes,删除标志：0-正常，1-已删除
public,gis_region_township,id,integer,yes,主键ID
public,gis_region_township,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,gis_region_township,region_code,character varying(20),yes,行政区划编码
public,gis_region_township,county,character varying(60),yes,区县名称
public,gis_region_township,region_name,character varying(50),yes,行政区划名称
public,gis_region_township,city,character varying(50),yes,市级名称
public,gis_watershed_partition,id,bigint,yes,主键ID
public,gis_watershed_partition,name,character varying(100),yes,名称
public,gis_watershed_partition,name_alias,character varying(100),yes,别名
public,gis_watershed_partition,area,double precision,yes,面积：平方千米
public,gis_watershed_partition,remark,character varying(255),yes,备注
public,gis_watershed_partition,code,character varying(100),yes,编码
public,gis_watershed_partition,create_by,bigint,yes,创建人
public,gis_watershed_partition,create_time,timestamp without time zone,yes,创建时间
public,gis_watershed_partition,update_by,bigint,yes,更新人
public,gis_watershed_partition,update_time,timestamp without time zone,yes,更新时间
public,gis_watershed_partition,del_flag,character(1),yes,删除标记: 0-未删除、1-已删除
public,gis_watershed_partition,geom,"geometry(MultiPolygon,4326)",yes,图形
public,gis_watershed_partition,version,smallint,yes,当前版本：从0开始递增
public,gis_watershed_partition_3,id,integer,yes,主键ID
public,gis_watershed_partition_3,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,gis_watershed_partition_3,basin,character varying(50),yes,流域
public,gis_watershed_partition_3,name,character varying(50),yes,名称
public,gis_watershed_partition_3,area,double precision,yes,面积：平方米
public,gis_watershed_partition_4,id,integer,yes,主键ID
public,gis_watershed_partition_4,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,gis_watershed_partition_4,basin,character varying(50),yes,流域
public,gis_watershed_partition_4,last_name,character varying(50),yes,上一级流域名称
public,gis_watershed_partition_4,poly_area,double precision,yes,多边形面积
public,gis_watershed_partition_4,name,character varying(50),yes,名称
public,gis_watershed_partition_4,area,double precision,yes,面积：平方米
public,gis_watershed_partition_4,section_name,character varying(50),yes,对应断面名称
public,gis_watershed_partition_4,2021,character varying(50),no,
public,gis_watershed_partition_4,2025,character varying(50),no,
public,gis_watershed_partition_4,2035,character varying(50),no,
public,layer_boundary_enterprise,id,integer,yes,主键ID
public,layer_boundary_enterprise,name,character varying,yes,名称
public,layer_boundary_enterprise,code,character varying,yes,编码
public,layer_boundary_enterprise,geom,"geometry(MultiLineString,4326)",yes,空间几何数据
public,layer_boundary_park,id,integer,yes,主键ID
public,layer_boundary_park,geom,"geometry(MultiPolygon,4326)",yes,空间几何数据
public,layer_boundary_park,name,character varying(28),yes,名称
public,layer_boundary_park,code,character varying(50),yes,编码
public,layer_boundary_park,name_part,character varying(255),yes,分园名称
public,layer_boundary_park,region_name,character varying(100),yes,行政区名称
public,layer_boundary_park,park_level,integer,yes,园区级别：0-未知、1-国家级、2-省级、3-市级
public,layer_entity_process,id,bigint,yes,主键
public,layer_entity_process,process_type,character varying(100),yes,溯源查询类型：industrial-工业园区
public,layer_entity_process,layer_type,smallint,yes,溯源查询类型：0-查询图层、1-静态图层...
public,layer_entity_process,layer_name_en,character varying(100),yes,图层英文名称
public,layer_entity_process,layer_name_cn,character varying(150),yes,图层中文名称
public,layer_entity_process,geom_type,character varying(50),yes,图形类型：点、线、面
public,layer_entity_process,layer_level,smallint,yes,图层层级：查询过程的级别
public,layer_entity_process,query_expand_mark,smallint,yes,扩展查询标记：关联查询相关属性
public,layer_entity_process,remark,character varying(255),yes,备注
public,layer_entity_relation,id,bigint,yes,主键
public,layer_entity_relation,entity_code_1,character varying(100),yes,要素编码1
public,layer_entity_relation,layer_name_1,character varying(100),yes,图层名称1
public,layer_entity_relation,relation,character varying(50),yes,关系名称
public,layer_entity_relation,entity_code_2,character varying(100),yes,要素编码2
public,layer_entity_relation,layer_name_2,character varying(100),yes,图层名称2
public,layer_entity_relation,create_date,timestamp without time zone,yes,创建时间
public,layer_entity_relation,delete_mark,smallint,yes,删除标志：0-正常、1-删除
public,layer_industrial_ghysgw,id,integer,yes,主键ID
public,layer_industrial_ghysgw,geom,"geometry(MultiLineString,4326)",yes,空间几何数据
public,layer_industrial_ghysgw,name,character varying(10),yes,名称
public,layer_industrial_ghysgw,code,character varying(50),yes,编码
public,layer_industrial_lsf,id,integer,yes,主键ID
public,layer_industrial_lsf,geom,"geometry(Point,4326)",yes,空间几何数据
public,layer_industrial_lsf,name,character varying(10),yes,名称
public,layer_industrial_lsf,code,character varying(50),yes,编码
public,layer_industrial_xzysgw,id,integer,yes,主键ID
public,layer_industrial_xzysgw,geom,"geometry(MultiLineString,4326)",yes,空间几何数据
public,layer_industrial_xzysgw,name,character varying(10),yes,名称
public,layer_industrial_xzysgw,code,character varying(50),yes,编码
public,layer_industrial_yjf,id,integer,yes,主键ID
public,layer_industrial_yjf,geom,"geometry(Point,4326)",yes,空间几何数据
public,layer_industrial_yjf,name,character varying(10),yes,名称
public,layer_industrial_yjf,code,character varying(50),yes,编码
public,layer_industrial_yjsgc,id,integer,yes,主键ID
public,layer_industrial_yjsgc,geom,"geometry(Point,4326)",yes,空间几何数据
public,layer_industrial_yjsgc,x,double precision,yes,X坐标
public,layer_industrial_yjsgc,y,double precision,yes,Y坐标
